Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Nombre de propiedad 2,Valor de propiedad 2,Nombre de propiedad 3,Valor de propiedad 3,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,MPN (Número de pieza del fabricante),Sexo,Rango de edad,Costo
art7580,ART7580,,,,,,,,0,,0.25,1,1,1,,123456775802,,NO,NO,,,,,,SI,,,,
art7579,ART7579,,,,,,,,0,,0.25,1,1,1,,123456775792,,NO,NO,,,,,,SI,,,,
campera-gris-azulada-art7578,Campera Gris Azulada ART7578,Camperas y Sacos,Talle,10,,,,,"28,000.00",,0.25,1,1,1,2,123456775782,,SI,NO,,,,,,SI,,,,
campera-gris-azulada-art7578,,,Talle,12,,,,,"28,000.00",,0.25,1,1,1,2,123456775783,,,,,,,,,,,,,
campera-gris-azulada-art7578,,,Talle,14,,,,,"28,000.00",,0.25,1,1,1,2,123456775784,,,,,,,,,,,,,
campera-lanilla-bordo-art7577,Campera lanilla Bordo ART7577,Camperas y Sacos,Talle,10,,,,,"28,000.00",,0.25,1,1,1,2,123456775772,,SI,NO,,,,,,SI,,,,
campera-lanilla-bordo-art7577,,,Talle,12,,,,,"28,000.00",,0.25,1,1,1,2,123456775773,,,,,,,,,,,,,
campera-lanilla-bordo-art7577,,,Talle,14,,,,,"28,000.00",,0.25,1,1,1,2,123456775774,,,,,,,,,,,,,
campera-lanilla-negra-art7576,Campera lanilla negra ART7576,Camperas y Sacos,Talle,10,,,,,"28,000.00",,0.25,1,1,1,2,123456775762,,SI,NO,,,,,,SI,,,,
campera-lanilla-negra-art7576,,,Talle,12,,,,,"28,000.00",,0.25,1,1,1,2,123456775763,,,,,,,,,,,,,
campera-lanilla-negra-art7576,,,Talle,14,,,,,"28,000.00",,0.25,1,1,1,2,123456775764,,,,,,,,,,,,,
art7575,ART7575,,,,,,,,0,,0.25,1,1,1,,123456775752,,NO,NO,,,,,,SI,,,,
art7574,ART7574,Sweaters y Buzos,,,,,,,0,,0.25,1,1,1,,123456775742,,NO,NO,,,,,,SI,,,,
buzo-tipo-cangurito-fucsia-art7573,Buzo tipo cangurito fucsia ART7573,Sweaters y Buzos,,,,,,,"32,000.00",,0.25,1,1,1,3,123456775732,,SI,NO,,,,,,SI,,,,
blusa-bordada-morena-art7572,Blusa bordada morena ART7572,Blusas y Tunicas,,,,,,,"60,000.00",,0.25,1,1,1,1,123456775722,,SI,NO,,,,,,SI,,,,
blusa-bordada-rosas-art7571,Blusa bordada rosas ART7571,Blusas y Tunicas,,,,,,,"60,000.00",,0.25,1,1,1,1,123456775712,,SI,NO,,,,,,SI,,,,
remeron-pintado-racimo-art7570,Remeron pintado racimo ART7570,Remeras y Musculosas,,,,,,,"41,000.00",,0.25,1,1,1,1,123456775702,,SI,NO,,,,,,SI,,,,
remeron-pintado-corazon-art7569,Remeron pintado corazon ART7569,Remeras y Musculosas,,,,,,,"41,000.00",,0.25,1,1,1,1,123456775692,,SI,NO,,,,,,SI,,,,
remera-osito-verde-art7568,Remera Osito Verde ART7568,,,,,,,,"26,000.00",,0.25,1,1,1,2,123456775682,,SI,NO,,,Remera Osito Verde ART7568: Talles Reales y Confortables,"La Remera Osito Verde ART7568 es suave y moderna, disponible en talles reales y especiales. ¡Perfecta para cualquier ocasión, no te quedes sin la tuya!",,SI,,,,
remera-osito-gris-art7567,Remera Osito Gris ART7567,Remeras y Musculosas,,,,,,,"26,000.00",,0.25,1,1,1,1,123456775672,,SI,NO,,,Remera Osito Gris ART7567 - Talles reales y cómodos,"Descubre la Remera Osito Gris ART7567, con estampado encantador y talles reales. ¡Adquiere la tuya hoy y luce un estilo adorable y cómodo!",,SI,,,,
remera-osito-negra-art7566,Remera Osito Negra ART7566,Remeras y Musculosas,,,,,,,"26,000.00",,0.25,1,1,1,2,123456775662,,SI,NO,,,Remera Osito Negra ART7566 - Talles Reales y Comodidad,"La Remera Osito Negra ART7566 ofrece talles reales y especiales, ideal para todos. ¡Añade estilo y comodidad a tu guardarropa! Stock limitado.",,SI,,,,
remera-osito-bordo-art7565,Remera Osito Bordo ART7565,Remeras y Musculosas,,,,,,,"26,000.00",,0.25,1,1,1,2,123456775652,,SI,NO,,,Remera Osito Bordo ART7565 - Talles Especiales y Comodidad,"Explora la Remera Osito Bordo ART7565, suave y ligera, con talles reales y especiales. Ideal para cualquier ocasión. ¡Añade este toque adorable a tu guardarropa!",,SI,,,,
remeron-arte-blanco-art7564,Remeron arte blanco ART7564,Remeras y Musculosas,,,,,,,"32,000.00",,0.25,1,1,1,0,123456775642,,NO,NO,,,,,,SI,,,,
remeron-arte-lima-art7563,Remeron arte lima ART7563,Remeras y Musculosas,,,,,,,"32,000.00",,0.25,1,1,1,0,123456775632,,NO,NO,,,,,,SI,,,,
remera-flores-pintada-art7562,Remera flores pintada ART7562,Remeras y Musculosas,,,,,,,"41,000.00",,0.25,1,1,1,0,123456775622,,NO,NO,,,Remera Flores Pintada ART7562 - Talles Especiales y Únicos,"Explora la Remera Flores Pintada ART7562, confeccionada en modal. Ideal para talles reales, disfruta de su diseño exclusivo y comodidad. ¡Compra ya!",,SI,,,,
art75611,Remera margarita ART7581,Remeras y Musculosas,,,,,,,"41,000.00",,0.25,1,1,1,0,123456775812,,SI,NO,,,Remera Margarita ART7581 - Talles Especiales Artesanales,"Explora la Remera Margarita ART7581, pintada a mano en modal, cómoda y disponible en talles reales. ¡Compra ya y luce única con estilo artesanal!",,SI,,,,
remera-mandala-pintada-art7561,Remera mandala pintada ART7561,Remeras y Musculosas,,,,,,,"41,000.00",,0.25,1,1,1,0,123456775612,,SI,NO,,,,,,SI,,,,
remeron-pintado-artesanamente-lenguitas-de-fuego-art7560,Remeron Pintado artesanamente Lengüitas de fuego ART7560,Remeras y Musculosas,,,,,,,"41,000.00",,0.25,1,1,1,0,123456775602,,NO,NO,,,,,,SI,,,,
remeron-pintado-artesanamente-frutilla-art7559,Remeron Pintado artesanamente Frutilla ART7559,Remeras y Musculosas,,,,,,,"41,000.00",,0.25,1,1,1,0,123456775592,,NO,NO,,,,,,SI,,,,
remera-modal-crep-gris-art7558,Remera modal crep gris ART7558,Sweaters y Buzos,,,,,,,0,,0.25,1,1,1,,123456775582,,NO,NO,,,,,,SI,,,,
maxi-canguro-negro-con-foil-art7557,Maxi canguro Negro con foil ART7557,Sweaters y Buzos,,,,,,,"28,500.00",,0.25,1,1,1,3,123456775572,,SI,NO,,,,,,SI,,,,
tunica-gasa-larga-art7556,Túnica gasa larga ART7556,Blusas y Tunicas,,,,,,,"46,000.00",,0.25,1,1,1,1,123456775562,,SI,NO,,,Túnica Gasa Larga ART7556 - Talles Grandes y Estilo,"La Túnica Gasa Larga ART7556 ofrece elegancia en talles reales y grandes. Confeccionada en gasa de calidad, ¡destaca tu figura y compra la tuya!",,SI,,,,
blusa-gasa-con-pico-en-el-costado-art7555,Blusa gasa con pico en el costado ART7555,Blusas y Tunicas,,,,,,,"60,000.00",,0.25,1,1,1,1,12346775552,,NO,NO,,,Blusa de Gasa con Pico en el Costado ART7555 - Talles Especiales,"Eleva tu estilo con la Blusa de Gasa ART7555. Disponible en talles reales y especiales, ideal para cualquier ocasión. ¡Compra y siente la comodidad!",,SI,,,,
tunica-lentejuela-azul-con-recorte-en-gasa-art7554,Tunica Lentejuela Azul con recorte en gasa ART7554,Blusas y Tunicas,,,,,,,"60,000.00",,0.25,1,1,1,1,123456775542,,SI,NO,,,Tunica Lentejuela Azul - Talles Especiales y Elegancia,"Brilla con la Tunica Lentejuela Azul, diseñada en talles especiales. Perfecta para todas las siluetas, ¡consigue la tuya antes de que se agote!",,SI,,,,
blusa-campana-cebra-blanco-negro-art7553,Blusa campana cebra Blanco/negro ART7553,Blusas y Tunicas,,,,,,,"35,000.00",,0.25,1,1,1,7,123456775532,,SI,NO,,,Blusa Campana Cebra Blanco/Negro ART7553 - Talles Especiales,"Descubre la Blusa Campana ART7553, en seda fría, diseñada para talles grandes y reales. ¡Aprovecha el stock limitado y destaca tu figura con estilo!",,SI,,,,
pullover-tipo-jersey-amarillo-art7552,Pullover tipo jersey Amarillo ART7552,Sweaters y Buzos,,,,,,,"45,000.00",,0.25,1,1,1,0,123456775522,,SI,NO,,,Pullover Jersey Amarillo ART7552: Talles Grandes y Estilo,"Explora el Pullover Jersey Amarillo ART7552, perfecto para talles reales y grandes. ¡Luce fabulosa con estilo y comodidad! Stock limitado.",,SI,,,,
pullover-tipo-jersey-celeste-art7551,Pullover tipo jersey celeste ART7551,Sweaters y Buzos,,,,,,,"45,000.00",,0.25,1,1,1,1,123456775512,,SI,NO,,,Pullover tipo jersey celeste ART7551 en talles grandes,"Descubre el pullover ART7551, liviano y elástico, disponible en talles reales y especiales. ¡Aprovecha el stock limitado y brilla en cualquier ocasión!",,SI,,,,
pullover-tipo-jersey-natural-art7550,Pullover tipo jersey Natural ART7550,Sweaters y Buzos,,,,,,,"45,000.00",,0.25,1,1,1,0,123456775502,,SI,NO,,,Pullover tipo jersey Natural ART7550 - Talles grandes y cómodos,"El Pullover Natural ART7550 es ideal para talles grandes. Con su diseño liviano y sofisticado, es perfecto para lucir fabulosa en cualquier ocasión. ¡Compra ahora!",,SI,,,,
pullover-tipo-jersey-verde-lima-art7549,Pullover tipo jersey verde Lima ART7549,Sweaters y Buzos,,,,,,,"45,000.00",,0.25,1,1,1,0,123456775492,,SI,NO,,,Pullover tipo jersey verde Lima ART7549 - Talles grandes y cómodos,"Descubre el Pullover tipo jersey verde Lima ART7549, disponible en talles reales y especiales. ¡Aprovecha el stock limitado y brilla con estilo!",,SI,,,,
pullover-tipo-jersey-naranja-art7547,Pullover tipo jersey Naranja ART7547,Sweaters y Buzos,,,,,,,"45,000.00",,0.25,1,1,1,0,123456775472,,SI,NO,,,Pullover Jersey Naranja ART7547: Talles Grandes y Estilo,"Descubre el Pullover Jersey Naranja ART7547, diseñado en talles reales y grandes. ¡No te pierdas la oportunidad de lucir moderna y cómoda con este must-have!",,SI,,,,
pullover-tipo-jersey-lila-art7546,Pullover tipo jersey Lila ART7546,Sweaters y Buzos,,,,,,,"45,000.00",,0.25,1,1,1,0,123456775462,,SI,NO,,,Pullover tipo jersey lila ART7546 - Talles grandes y cómodos,"Explora el pullover tipo jersey lila ART7546, disponible en talles reales y especiales. ¡Añádelo a tu guardarropa y destaca con estilo y confort!",,SI,,,,
pullover-jersey-tipo-poncho-magenta-art7545,Pullover jersey tipo poncho Magenta ART7545,Sweaters y Buzos,,,,,,,0,,0.25,1,1,1,1,123456775452,,NO,NO,,,,,,SI,,,,
pullover-jersey-tipo-poncho-verde-benetton-art7544,Pullover jersey tipo poncho Verde Benetton ART7544,Sweaters y Buzos,,,,,,,"45,000.00",,0.25,1,1,1,0,123456775442,,SI,NO,,,Pullover Jersey Poncho Verde Benetton Talles Especiales,El Pullover Jersey Poncho Verde Benetton ART7544 ofrece talles reales y especiales para un ajuste perfecto. ¡Viste cómodo y con estilo hoy mismo!,,SI,,,,
pullover-lnm-naranja-art7543,Pullover LNM Naranja ART7543,Sweaters y Buzos,,,,,,,0,,0.25,1,1,1,1,123456775432,,NO,NO,,,Pullover LNM Naranja ART7543: Estilo y Talles Especiales,"Descubre el Pullover LNM Naranja ART7543, ideal para todos los cuerpos. Disponible en talles grandes y reales. ¡Compra y luce fabulosa!",,SI,,,,
pullover-tejido-tipo-jersey-con-estampa-art7542,Pullover Tejido tipo jersey con estampa ART7542,Sweaters y Buzos,,,,,,,"45,000.00",,0.25,1,1,1,0,123456775422,,NO,NO,,,,,,SI,,,,
pullover-tejido-tipo-jersey-fucsia-art7541,Pullover Tejido tipo jersey fucsia ART7541,Sweaters y Buzos,,,,,,,"45,000.00",,0.25,1,1,1,0,123456775412,,SI,NO,,,Pullover Jersey Fucsia ART7541 - Talles Grandes y Comodidad,"Descubre el Pullover Jersey Fucsia ART7541, ideal en talles reales y grandes. ¡Versátil y elegante! No te quedes sin el tuyo, stock limitado.",,SI,,,,
pantalon-tipo-palazo-morley-gris-art7540,Pantalon tipo Palazo morley gris ART7540,Pantalones y Calzas,Talle,6,,,,,"30,000.00",,0.25,1,1,1,2,123456775402,,NO,NO,,"10, 6, 8, palazo, pantalones, recto, tiromedioalto",,,,SI,,,,
pantalon-tipo-palazo-morley-gris-art7540,,,Talle,8,,,,,"30,000.00",,0.25,1,1,1,2,123456775403,,,,,,,,,,,,,
pantalon-tipo-palazo-morley-gris-art7540,,,Talle,10,,,,,"30,000.00",,0.25,1,1,1,2,123456775404,,,,,,,,,,,,,
blusa-camu-cuello-redondo-art7539,Blusa camu cuello redondo ART7539,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,0,123456775392,,NO,NO,,,,,,SI,,,,
remera-tipo-tejido-beige-art7538,Remera tipo tejido Beige ART7538,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,2,123456775382,,SI,NO,,,,,,SI,,,,
blusa-campana-evase-pico-bulgari-art7537,Blusa campana evase pico bulgari ART7537,Blusas y Tunicas,,,,,,,"35,000.00",,0.25,1,1,1,0,123456775372,,NO,NO,,,Blusa Campana Evase Pico Bulgari ART7537 - Talles Especiales,"Descubre la Blusa Campana Evase Pico Bulgari ART7537, diseñada para talles reales y especiales. ¡Compra ahora y lucí elegante y cómoda en cualquier ocasión!",,SI,,,,
blusa-campana-evase-pico-camuflado-art7536,Blusa campana evase pico camuflado ART7536,Blusas y Tunicas,,,,,,,"35,000.00",,0.25,1,1,1,1,123456775372,,SI,NO,,,,,,SI,,,,
remeron-amor-gris-art7535,Remeron amor gris ART7535,Remeras y Musculosas,,,,,,,"32,000.00",,0.25,1,1,1,0,123456775352,,SI,NO,,,Remeron Amor Gris ART7535 - Talles Reales y Comodidad,"El Remeron Amor Gris ART7535 es ideal para talles grandes. Confeccionado en material fresco y cómodo, ¡compra el tuyo y luce espectacular en cualquier ocasión!",,SI,,,,
remeron-mariposa-art7534,Remeron Mariposa ART7534,Remeras y Musculosas,,,,,,,"32,000.00",,0.25,1,1,1,1,123456775342,,SI,NO,,,Remeron Mariposa ART7534 - Talles Grandes y Comodidad,"El Remeron Mariposa ART7534 es ideal para talles especiales, confeccionado en modal suave. Talle único para todas las siluetas. ¡Compra y luce elegante!",,SI,,,,
